Type,Lat,Long,Depth,Phi,Delta-a,Delta-b,Depth_err,Seconds,Time_err,12P,12P_EC,14P,14P_EC,15P,15P_EC,16P,16P_EC,12S,12S_EC,14S,14S_EC,15S,15S_EC,16S,16S_EC,Year,Month,Day,Hour,Minute,R,G,B,Latrad,Longrad,zpos,ypos,xps
M,-39.4,62.8,0.0,55,2.7,2.0,0,22.8,6.0,332.7,1.0,338.1,2.0,333.8,1.0,236.0,1.0,,,,,,,357.9,2.0,1976,01,13,07,11,0,0,255,-0.6876597252857658,1.096066770252439,3.532149146142963,-6.347305132022676,-6.872818924604383
M,-16.8,-10.0,0.0,67,2.0,0.6,0,56.38,5.4,163.7,2.0,126.5,1.0,,,169.0,1.0,216.0,2.0,169.0,2.0,373.0,2.0,,,1976,05,28,06,01,0,0,255,-0.2932153143350474,-0.17453292519943295,9.427756632793312,-2.890317969444716,1.662367861914649
M,23.8,-73.9,0.0,37,1.8,0.8,0,6.67,0.9,228.6,0.0,246.9,0.0,273.8,1.0,337.7,0.0,,,,,,,,,1976,11,42,31,3,0,0,255,0.41538836197465046,-1.2897983172238097,2.537317230754328,4.035452963523901,8.790741757650679
M,-20.5,-63.8,0.0,23,1.8,0.8,0,6.03,0.7,183.7,1.0,197.8,1.0,306.4,0.0,298.2,0.0,,,,,,,,,1977,04,71,23,32,0,0,255,-0.35779249665883756,-1.1135200627723822,4.135462537004248,-3.5020738125946744,8.404369614443013
M,-13.5,-75.3,0.0,-84,7.7,3.1,0,31.17,3.8,239.9,1.0,250.0,2.0,344.0,2.0,358.5,2.0,390.0,2.0,,,,,,,1977,06,28,22,22,0,0,255,-0.23561944901923448,-1.31423292675173,2.4674659237620555,-2.334453638559054,9.405420677699189
SH,12.8,51.0,,-20,2.9,109.0,109,3.0,2.5,,,278.0,2.0,186.0,1.0,170.0,2.0,,,460.0,2.0,322.0,2.0,285.0,2.0,1972,09,17,14,35,0,255,0,0.2234021442552742,0.8901179185171081,6.136813729835736,2.215484976194673,-7.5783338251594135
SH,48.0,38.2,10.0,58,3.2,110.0,110,33.4,7.4,,,302.0,2.0,167.0,2.0,280.0,2.0,,,507.0,2.0,278.0,2.0,430.0,2.0,1972,12,06,23,08,0,5,250,0.8377580409572782,0.6667157742618339,5.258408994417452,7.431448254773942,-4.137959845630088
SH,21.9,82.6,2.0,-10,2.4,63.0,63,18.26,1.3,377.1,1.0,365.4,2.0,296.0,2.0,297.7,0.0,655.9,2.0,,,485.1,2.0,,,1974,07,11,00,46,0,1,254,0.38222710618675815,1.4416419621473162,1.1950122384720243,3.7298778257580887,-9.201084564051142
SH,26.1,-92.7,0.0,42,2.4,38.0,38,58.36,6.8,334.3,1.0,350.8,1.0,363.1,1.0,434.9,1.0,543.0,2.0,581.0,2.0,608.0,2.0,730.0,2.0,1975,01,03,01,41,0,0,255,0.45553093477052004,-1.6179202165987436,-0.42302891733467435,4.3993916985591515,8.970306528639224
SH,64.1,59.9,0.0,59,1.8,14.0,14,51.74,0.6,,,360.0,2.0,260.0,2.0,350.0,2.0,612.9,2.0,,,400.0,0.0,567.6,0.0,1975,01,12,03,13,0,0,255,1.1187560505283651,1.0454522219446034,2.1906078687685566,8.995577789551803,-3.778996877137051
SH,-17.0,-26.1,21.0,44,3.0,112.0,112,50.78,0.7,,,117.9,1.0,248.0,2.0,210.0,2.0,154.4,2.0,167.8,2.0,,,321.7,2.0,1975,02,13,22,03,0,9,246,-0.29670597283903605,-0.45553093477052004,8.587880416858319,-2.9237170472273677,4.207159204676413
SH,44.1,34.0,125.0,76,3.2,179.0,179,54.92,0.3,,,298.0,2.0,175.1,2.0,262.0,1.0,,,474.0,2.0,259.0,2.0,412.0,2.0,1976,01,04,11,18,0,54,201,0.7696902001294994,0.5934119456780721,5.9535368268553315,6.959127965923145,-4.015711295048957
SH,52.5,-25.8,185.0,-24,1.2,51.0,51,22.08,2.0,236.9,1.0,233.2,0.0,158.6,1.0,282.6,1.0,381.3,1.0,387.7,1.0,251.2,2.0,466.1,2.0,1976,03,06,10,12,0,79,176,0.9162978572970231,-0.45029494701453704,5.48079341842175,7.933533402912351,2.6495190600293457
A01,-17.4,-38.4,917.0,-25,1.1,0.6,11,58.84,0.8,192.4,0.0,194.8,0.0,251.0,0.0,239.7,1.0,290.5,1.0,300.6,2.0,396.8,0.0,377.8,2.0,1973,09,30,04,10,134,121,0,-0.3036872898470133,-0.6702064327658225,7.478319021746663,-2.9904079225608666,5.927242619099311
A06,49.7,54.7,860.0,74,1.0,0.7,11,25.31,2.6,259.4,0.0,258.2,0.0,191.6,0.0,235.2,0.0,444.7,0.0,433.3,1.0,316.9,1.0,377.9,1.0,1976,07,02,10,52,110,145,0,0.8674286382411819,0.9546951008408983,3.7375240546344535,7.626683296956883,-5.278694519381445
A07,24.0,53.7,900.0,-75,0.8,0.7,12,24.18,0.6,251.2,0.0,242.0,0.0,191.4,0.0,198.8,1.0,426.1,1.0,408.2,0.0,314.5,1.0,332.4,1.0,1976,07,02,03,11,127,128,0,0.4188790204786391,0.937241808320955,5.408309503565838,4.067366430758002,-7.362521214338356
A08,-28.0,-28.1,940.0,51,2.0,1.2,21,29.35,3.0,173.2,1.0,174.0,1.0,,,189.9,1.0,270.5,1.0,276.3,0.0,,,328.9,1.0,1977,05,16,10,52,144,111,0,-0.4886921905584123,-0.4904375198104066,7.788717929464889,-4.694715627858908,4.158788067306329
A09,-37.8,-30.8,975.0,14,4.0,2.6,43,4.27,0.9,167.5,2.0,159.7,1.0,,,,0.0,277.1,0.0,277.7,1.0,377.1,2.0,320.3,2.0,1977,04,16,19,58,159,96,0,-0.6597344572538565,-0.5375614096142535,6.787114679894708,-6.129070536529763,4.045932362286903
