Side,Lat,Lat_err,Long,Long_err,Depth,Depth_err,Assumed,Type,12P,14P,15P,16P,12S,14S,15S,16S
N,36.1,12.2,-2.4,1.3,863.0,145.0,N,dm, , , , ,306,301,226,320
N,-50.7,7.9,-21.4,5.5,933.0,109.0,Y,dm, ,94, ,112,231,231, ,239
N,6.3,0.9,22.1,9.7,855.0,188.0,N,dm, , , , ,301,283,242,220
N,34.3,12.0,45.0,29.9,933.0,109.0,Y,dm, , , , , ,330,232,275
N,24.1,5.1,26.1,8.2,933.0,109.0,Y,dm, , , , , ,315,238,270
N,36.8,4.5,21.2,4.5,1006.0,41.0,N,dm, , ,138, ,334,321,243,302
N,-7.8,3.5,5.4,1.7,933.0,109.0,Y,dm, , , , , ,251,276,231
N,12.2,1.9,3.5,1.5,933.0,109.0,Y,dm, , , , , ,252,230,248
N,26.3,8.7,20.0,9.8,831.0,169.0,N,dm, , , , ,331,317,227,280
N,26.7,5.6,5.2,2.1,933.0,109.0,Y,dm, , , , , ,300,241,299
F,-69.4,4.4,75.4,24.6,933.0,109.0,Y,dm, , , ,70, ,278, ,231
N,58.6,4.6,54.2,15.5,1025.0,31.0,N,dm, , ,115,154, ,342,247,318
N,7.0,1.3,8.3,4.1,1019.0,191.0,N,dm, , , , ,264,253,239,236
F,34.6,20.9,56.1,81.0,933.0,109.0,Y,dm, , , , , ,339,230,261
F,8.6,4.9,73.0,69.5,933.0,109.0,Y,dm, , , , , ,304,234,208
N,19.4,2.7,24.3,5.1,959.0,68.0,N,dm, ,163, , , ,293,229,248
N,5.3,1.1,3.6,1.5,933.0,109.0,Y,dm, , , , , ,228,224,220
N,-3.4,2.5,12.5,3.1,933.0,109.0,Y,dm, , , , , ,275,277,237
N,-3.6,2.8,21.5,5.7,933.0,109.0,Y,dm, , , , , ,282,270,222
N,-46.5,8.3,38.9,9.3,933.0,109.0,Y,dm, ,155, ,121, ,310, ,242
N,1.4,1.6,15.0,3.7,933.0,109.0,Y,dm, , , , , ,289,275,247
N,35.0,6.2,19.1,5.5,1063.0,63.0,N,dm, ,180, , , ,318,249,300
N,-7.1,3.5,15.3,4.0,933.0,109.0,Y,dm, , , , , ,247,253,200
N,3.4,0.6,2.0,0.7,559.0,97.0,N,dm, , , , ,268,246,254,237
N,-1.7,2.3,18.0,4.5,933.0,109.0,Y,dm, , , , , ,271,260,220
N,-7.6,5.0,36.7,13.2,933.0,109.0,Y,dm, , , , , ,264,242,178
N,53.8,6.8,35.2,19.2,933.0,109.0,Y,dm, , ,133, , , ,249,333
N,-50.0,7.5,53.2,12.2,933.0,109.0,Y,dm, , , ,110, ,315, ,245
N,-3.7,3.6,-33.9,12.4,933.0,109.0,Y,dm, , , , , ,190,263,270
N,4.4,1.2,-4.7,1.8,933.0,109.0,Y,dm, , , , , ,224,238,240
N,2.4,2.7,46.1,20.2,933.0,109.0,Y,dm, , , , , ,290,240,200
N,-53.2,4.6,-54.4,11.4,933.0,109.0,Y,dm,95,95, , ,240,235, ,280
F,15.5,2.4,97.0,12.3,1141.0,74.0,N,dm, , ,110,106, ,338,282,279
N,7.1,1.2,22.5,4.7,984.0,76.0,N,dm, ,178, , , ,302,267,252
F,42.9,3.7,110.9,14.2,933.0,109.0,Y,dm,171,165, ,89, , ,242,285
N,54.2,6.5,56.5,14.0,933.0,109.0,Y,dm, , ,118, , , ,248,321
N,24.8,5.7,35.7,13.5,933.0,109.0,Y,dm, , , , , ,330,246,272
N,10.6,1.6,6.4,1.9,933.0,109.0,Y,dm, , , , , ,263,240,250
,,,,,,,,, , , , ,220,228, , 
,,,,,,,,, , , , ,205,203, ,270
,,,,,,,,, , , , ,211,219, , 
,,,,,,,,, , , , ,237,239, ,310
,,,,,,,,, , , , , , ,243,271
,,,,,,,,, , , , ,232,245,298, 
,,,,,,,,, , , , ,203,208, , 
,,,,,,,,, , , , ,234,241, ,300
,,,,,,,,, , , , , ,213, ,267
,,,,,,,,, , , , ,235,245, , 
,,,,,,,,, , , , ,228,238, , 
,,,,,,,,, , , , ,250,253, ,311
,,,,,,,,, , , , , ,277, ,231
,,,,,,,,, , , , , ,270, ,237
,,,,,,,,, , , , ,240,231, ,260
,,,,,,,,, , , , ,290,287, ,221
,,,,,,,,, , , , ,298,289, ,242
,,,,,,,,, , , , ,203, , ,210
,,,,,,,,, , , , ,229,239, , 
,,,,,,,,, , , , ,228,234, , 
,,,,,,,,, , , , ,241,245, ,292
,,,,,,,,, , , , ,227,229, ,250
,,,,,,,,, , , , , ,282, ,236
,,,,,,,,, , , , , ,383,272, 
,,,,,,,,, , , , , , ,234,348
,,,,,,,,, , , , ,227,220, , 
,,,,,,,,, , , , ,227,239, , 
,,,,,,,,, , , , ,204,213, ,282
,,,,,,,,, , , , ,242,245, , 
,,,,,,,,, , , , ,262,251, , 
,,,,,,,,, , , , ,232,242, , 
,,,,,,,,, , , , ,241,235, ,270
,,,,,,,,, , , , ,202,192, ,230
,,,,,,,,, , , , , ,274, , 
,,,,,,,,, , , , , ,226, ,218
,,,,,,,,, , , , ,193,202, ,266
,,,,,,,,, , , , , , ,285,269
,,,,,,,,, , , , , , ,200,236
,,,,,,,,, , , , , ,291, ,323
,,,,,,,,, , , , , ,289, ,243
,,,,,,,,, , , , , ,244, ,340
,,,,,,,,, , , , , ,225, ,246
,,,,,,,,, , , , , ,305, ,240
,,,,,,,,, , , , , , , ,290
,,,,,,,,, , , , , ,282, ,230
,,,,,,,,, , , , , ,301,219, 
,,,,,,,,, , , , , ,220, ,300
,,,,,,,,, , , , , ,297,247, 
,,,,,,,,, , , , ,241,241,222, 
,,,,,,,,, , , , , , , ,240
,,,,,,,,, , , , , , , ,193
,,,,,,,,, , , , , ,237, ,232
,,,,,,,,, , , , , ,222, ,190
,,,,,,,,, , , , , ,291, ,233
,,,,,,,,, , , , , , , ,175
,,,,,,,,, , , , , ,267,227, 
,,,,,,,,, , , , , , , ,238
,,,,,,,,, , , , , , ,268,243
,,,,,,,,, , , , , ,185, ,280
,,,,,,,,, , , , , ,277,239, 
