A,Side,Lat,Lat_err,Long,Long_err,Depth,Depth_err,Assumed,12P,14P,15P,16P,12S,14S,15S,16S
97,N,-8.4,2.9,17.9,3.8,989.0,71.0,N, ,149, , , ,267,271,219
99,N,10.0,1.1,22.8,4.2,989.0,69.0,N, ,163,143, , ,291,248,242
100,N,-2.0,4.2,32.2,17.1,920.0,184.0,N, , , , ,309,291,261,211
107,N,41.0,2.5,53.4,7.7,893.0,34.0,N, , ,118, ,365,347,242,297
114,N,15.5,1.2,55.6,7.5,755.0,44.0,N, ,162, , , ,332,240,230
201,N,-40.6,14.8,-3.8,1.6,862.0,88.0,N, , , , ,249,241,332,232
202,N,1.0,1.7,2.8,1.5,919.0,170.0,N, , , , ,263,251,260,243
203,N,0.5,2.0,47.3,11.8,1243.0,50.0,N, ,138,120,100,300,286,260,239
204,N,-28.4,8.9,-66.6,9.2,933.0,109.0,Y, ,95, , ,220,230, ,310
209,N,-26.5,12.0,-35.1,7.2,933.0,109.0,Y, ,123, ,158,220,236, ,290
212,N,12.8,1.4,-36.2,5.6,963.0,45.0,N, ,121, , ,219,227,262,307
216,N,-13.7,3.9,-21.6,4.5,764.0,81.0,N, , , , ,215,215,321,285
218,F,-2.4,4.4,-73.3,32.3,878.0,107.0,N, , , , ,170,189,264,291
223,N,36.1,12.2,-2.4,1.3,863.0,145.0,N, , , , ,306,301,226,320
224,N,-50.7,7.9,-21.4,5.5,933.0,109.0,Y, ,94, ,112,231,231, ,239
230,N,6.3,0.9,22.1,9.7,855.0,188.0,N, , , , ,301,283,242,220
231,N,34.3,12.0,45.0,29.9,933.0,109.0,Y, , , , , ,330,232,275
233,N,24.1,5.1,26.1,8.2,933.0,109.0,Y, , , , , ,315,238,270
234,N,36.8,4.5,21.2,4.5,1006.0,41.0,N, , ,138, ,334,321,243,302
236,N,-7.8,3.5,5.4,1.7,933.0,109.0,Y, , , , , ,251,276,231
237,N,12.2,1.9,3.5,1.5,933.0,109.0,Y, , , , , ,252,230,248
238,N,26.3,8.7,20.0,9.8,831.0,169.0,N, , , , ,331,317,227,280
239,N,26.7,5.6,5.2,2.1,933.0,109.0,Y, , , , , ,300,241,299
241,F,-69.4,4.4,75.4,24.6,933.0,109.0,Y, , , ,70, ,278, ,231
242,N,58.6,4.6,54.2,15.5,1025.0,31.0,N, , ,115,154, ,342,247,318
243,N,7.0,1.3,8.3,4.1,1019.0,191.0,N, , , , ,264,253,239,236
244,F,34.6,20.9,56.1,81.0,933.0,109.0,Y, , , , , ,339,230,261
245,F,8.6,4.9,73.0,69.5,933.0,109.0,Y, , , , , ,304,234,208
246,N,19.4,2.7,24.3,5.1,959.0,68.0,N, ,163, , , ,293,229,248
248,N,5.3,1.1,3.6,1.5,933.0,109.0,Y, , , , , ,228,224,220
249,N,-3.4,2.5,12.5,3.1,933.0,109.0,Y, , , , , ,275,277,237
250,N,-3.6,2.8,21.5,5.7,933.0,109.0,Y, , , , , ,282,270,222
251,N,-46.5,8.3,38.9,9.3,933.0,109.0,Y, ,155, ,121, ,310, ,242
255,N,1.4,1.6,15.0,3.7,933.0,109.0,Y, , , , , ,289,275,247
257,N,35.0,6.2,19.1,5.5,1063.0,63.0,N, ,180, , , ,318,249,300
258,N,-7.1,3.5,15.3,4.0,933.0,109.0,Y, , , , , ,247,253,200
259,N,3.4,0.6,2.0,0.7,559.0,97.0,N, , , , ,268,246,254,237
260,N,-1.7,2.3,18.0,4.5,933.0,109.0,Y, , , , , ,271,260,220
267,N,-7.6,5.0,36.7,13.2,933.0,109.0,Y, , , , , ,264,242,178
271,N,53.8,6.8,35.2,19.2,933.0,109.0,Y, , ,133, , , ,249,333
272,N,-50.0,7.5,53.2,12.2,933.0,109.0,Y, , , ,110, ,315, ,245
276,N,-3.7,3.6,-33.9,12.4,933.0,109.0,Y, , , , , ,190,263,270
279,N,4.4,1.2,-4.7,1.8,933.0,109.0,Y, , , , , ,224,238,240
280,N,2.4,2.7,46.1,20.2,933.0,109.0,Y, , , , , ,290,240,200
281,N,-53.2,4.6,-54.4,11.4,933.0,109.0,Y,95,95, , ,240,235, ,280
282,F,15.5,2.4,97.0,12.3,1141.0,74.0,N, , ,110,106, ,338,282,279
283,N,7.1,1.2,22.5,4.7,984.0,76.0,N, ,178, , , ,302,267,252
285,F,42.9,3.7,110.9,14.2,933.0,109.0,Y,171,165, ,89, , ,242,285
286,N,54.2,6.5,56.5,14.0,933.0,109.0,Y, , ,118, , , ,248,321
287,N,24.8,5.7,35.7,13.5,933.0,109.0,Y, , , , , ,330,246,272
290,N,10.6,1.6,6.4,1.9,933.0,109.0,Y, , , , , ,263,240,250
2,,,,,,,,, , , , ,220,228, , 
4,,,,,,,,, , , , ,205,203, ,270
12,,,,,,,,, , , , ,211,219, , 
23,,,,,,,,, , , , ,237,239, ,310
31,,,,,,,,, , , , , , ,243,271
43,,,,,,,,, , , , ,232,245,298, 
57,,,,,,,,, , , , ,203,208, , 
69,,,,,,,,, , , , ,234,241, ,300
72,,,,,,,,, , , , , ,213, ,267
75,,,,,,,,, , , , ,235,245, , 
79,,,,,,,,, , , , ,228,238, , 
80,,,,,,,,, , , , ,250,253, ,311
89,,,,,,,,, , , , , ,277, ,231
90,,,,,,,,, , , , , ,270, ,237
94,,,,,,,,, , , , ,240,231, ,260
98,,,,,,,,, , , , ,290,287, ,221
104,,,,,,,,, , , , ,298,289, ,242
205,,,,,,,,, , , , ,203, , ,210
206,,,,,,,,, , , , ,229,239, , 
207,,,,,,,,, , , , ,228,234, , 
208,,,,,,,,, , , , ,241,245, ,292
210,,,,,,,,, , , , ,227,229, ,250
211,,,,,,,,, , , , , ,282, ,236
213,,,,,,,,, , , , , ,383,272, 
214,,,,,,,,, , , , , , ,234,348
215,,,,,,,,, , , , ,227,220, , 
217,,,,,,,,, , , , ,227,239, , 
219,,,,,,,,, , , , ,204,213, ,282
220,,,,,,,,, , , , ,242,245, , 
221,,,,,,,,, , , , ,262,251, , 
222,,,,,,,,, , , , ,232,242, , 
225,,,,,,,,, , , , ,241,235, ,270
226,,,,,,,,, , , , ,202,192, ,230
227,,,,,,,,, , , , , ,274, , 
228,,,,,,,,, , , , , ,226, ,218
229,,,,,,,,, , , , ,193,202, ,266
232,,,,,,,,, , , , , , ,285,269
235,,,,,,,,, , , , , , ,200,236
240,,,,,,,,, , , , , ,291, ,323
252,,,,,,,,, , , , , ,289, ,243
253,,,,,,,,, , , , , ,244, ,340
254,,,,,,,,, , , , , ,225, ,246
256,,,,,,,,, , , , , ,305, ,240
261,,,,,,,,, , , , , , , ,290
262,,,,,,,,, , , , , ,282, ,230
263,,,,,,,,, , , , , ,301,219, 
264,,,,,,,,, , , , , ,220, ,300
265,,,,,,,,, , , , , ,297,247, 
266,,,,,,,,, , , , ,241,241,222, 
268,,,,,,,,, , , , , , , ,240
269,,,,,,,,, , , , , , , ,193
270,,,,,,,,, , , , , ,237, ,232
273,,,,,,,,, , , , , ,222, ,190
274,,,,,,,,, , , , , ,291, ,233
275,,,,,,,,, , , , , , , ,175
277,,,,,,,,, , , , , ,267,227, 
278,,,,,,,,, , , , , , , ,238
284,,,,,,,,, , , , , , ,268,243
288,,,,,,,,, , , , , ,185, ,280
289,,,,,,,,, , , , , ,277,239, 
